Date,Description,Amount,Type
2024-01-01,Salary Deposit,5000.00,Income
2024-01-02,Grocery Store Purchase,-85.50,Expense
2024-01-03,Gas Station,-45.20,Expense
2024-01-04,Restaurant Dinner,-32.75,Expense
2024-01-05,ATM Withdrawal,-100.00,Expense
2024-01-06,Online Shopping,-125.99,Expense
2024-01-07,Utility Bill Payment,-150.00,Expense
2024-01-08,Interest Earned,12.50,Income
2024-01-09,Pharmacy,-28.45,Expense
2024-01-10,Coffee Shop,-4.50,Expense
2024-01-11,Insurance Payment,-200.00,Expense
2024-01-12,Transfer to Savings,-500.00,Transfer
2024-01-13,Restaurant Lunch,-18.75,Expense
2024-01-14,Gas Station,-42.30,Expense
2024-01-15,Salary Deposit,5000.00,Income
2024-01-16,Grocery Store,-92.15,Expense
2024-01-17,Streaming Service,-15.99,Expense
2024-01-18,ATM Withdrawal,-80.00,Expense
2024-01-19,Restaurant Dinner,-45.60,Expense
2024-01-20,Online Purchase,-75.25,Expense
